site,x,y,proj,ellps
GRNCAR,-120.57394085280367,39.007064368660856,longlat,WGS84
GRNDAM,-120.47165337748682,39.05302660292378,longlat,WGS84
GRNHOU,-120.39100838305795,38.98666561898236,longlat,WGS84
GRNKAN,-120.65022619871719,38.97069095794051,longlat,WGS84
GRNMAS,-120.39965072984856,38.98101830233224,longlat,WGS84
GRNQUA,-120.40804853093636,39.09365803540218,longlat,WGS84
GRNSNO,-120.41355569201255,39.09125555225717,longlat,WGS84
GRNTUR,-120.40036513904202,38.98948957926794,longlat,WGS84
GRNWOO,-120.5926937543242,38.9653394327454,longlat,WGS84
HIBADR,-120.43713624376885,39.045608027149164,longlat,WGS84
HICAMP,-120.42239588367752,39.07199802503672,longlat,WGS84
HICORN,-120.49206809036635,38.99331337135126,longlat,WGS84
HICOWS,-120.54823911544344,38.95304548218675,longlat,WGS84
HIDODD,-120.51825168183582,38.978627077623116,longlat,WGS84
HISHRU,-120.44608114588696,39.032630322569446,longlat,WGS84
HISQUE,-120.53841836823827,38.95083624675931,longlat,WGS84
HITEDD,-120.51083244936385,38.96709883455695,longlat,WGS84
HIWALK,-120.54629175750634,38.95514208109026,longlat,WGS84
MIXBUS,-120.3975307698478,38.99666316645672,longlat,WGS84
MIXBUT,-120.42664338884634,39.08519374574504,longlat,WGS84
MIXDP2,-120.55228716912322,38.96081350683299,longlat,WGS84
MIXMID,-120.549168869083,38.96423476997155,longlat,WGS84
MIXMIX,-120.43343816714417,38.990803337815365,longlat,WGS84
MIXMOR,-120.41677444431605,38.98935423439786,longlat,WGS84
MIXRAV,-120.54393561629435,38.96906873907892,longlat,WGS84
MIXRIV,-120.44921958835516,39.06178145935475,longlat,WGS84
MIXWAT,-120.45776143854573,39.06172934628768,longlat,WGS84
